┃4K超高清,#genre#
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$ipv4•线路33(480ms)
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$ipv4•线路34(480ms)
CCTV1,http://www.kaniptv.cn/mk.php?ip=sdxztest1.abcnic.com:&id=live1008$ipv4•线路35(487ms)
CCTV1,http://www.kaniptv.cn/mk.php?ip=sdxztest1.abcnic.com:&id=live1008$ipv4•线路36(487ms)
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$ipv4•线路37(490ms)
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$ipv4•线路38(490ms)
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8$ipv4•线路39(497ms)
CCTV1,http://61.156.228.12:8154/tsfile/live/0001_1.m3u8$ipv4•线路40(497ms)
CCTV1,http://110.80.17.38:9999/tsfile/live/0001_1.m3u8$ipv4•线路41(498ms)
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$ipv4•线路42(504ms)
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$ipv4•线路43(504ms)
CCTV1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8$ipv4•线路44(506ms)
CCTV1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8$ipv4•线路45(506ms)
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$ipv4•线路46(509ms)
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$ipv4•线路47(509ms)
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8$ipv4•线路48(519ms)
CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8$ipv4•线路49(519ms)
CCTV1,http://113.26.202.52:1299/tsfile/live/0001_1.m3u8$ipv4•线路50(533ms)
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$ipv4•线路51(557ms)
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$ipv4•线路52(557ms)
CCTV2,http://23.237.228.134/live5/CCTV2.m3u8$ipv4•线路1(83ms)
CCTV2,http://23.237.228.134/live5/CCTV2.m3u8$ipv4•线路2(83ms)
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub$ipv4•线路3(136ms)
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub$ipv4•线路4(136ms)
CCTV2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$ipv4•线路5(173ms)
CCTV2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$ipv4•线路6(173ms)
CCTV2,http://221.13.235.66:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$ipv4•线路7(229ms)
CCTV2,http://221.13.235.66:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$ipv4•线路8(229ms)
CCTV2,http://113.26.202.52:1299/tsfile/live/0002_1.m3u8$ipv4•线路9(271ms)
CCTV2,http://182.150.23.74:808/hls/2/index.m3u8$ipv4•线路10(314ms)
CCTV2,http://182.150.23.74:808/hls/2/index.m3u8$ipv4•线路11(314ms)
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8$ipv4•线路12(378ms)
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8$ipv4•线路13(378ms)
CCTV2,http://111.43.126.240:9003/hls/14/index.m3u8$ipv4•线路14(420ms)
CCTV2,http://111.43.126.240:9003/hls/14/index.m3u8$ipv4•线路15(420ms)
CCTV2,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$ipv4•线路16(422ms)
